department,heading,deputy,type,question,url,date
Taoiseach,Cabinet Committees,Malcolm Byrne,oral,1. Deputy Malcolm Byrne asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [65714/25],https://www.oireachtas.ie/en/debates/question/2026-01-13/1/,2026-01-13
Taoiseach,Cabinet Committees,Naoise Ó Cearúil,oral,2. Deputy Naoise Ó Cearúil asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [65718/25],https://www.oireachtas.ie/en/debates/question/2026-01-13/2/,2026-01-13
Taoiseach,Cabinet Committees,Pádraig Rice,oral,3. Deputy Pádraig Rice asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [68414/25],https://www.oireachtas.ie/en/debates/question/2026-01-13/3/,2026-01-13
Taoiseach,Cabinet Committees,Ruairí Ó Murchú,oral,4. Deputy Ruairí Ó Murchú asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [69322/25],https://www.oireachtas.ie/en/debates/question/2026-01-13/4/,2026-01-13
Taoiseach,Cabinet Committees,Darren O'Rourke,oral,5. Deputy Darren O'Rourke asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [69705/25],https://www.oireachtas.ie/en/debates/question/2026-01-13/5/,2026-01-13
Taoiseach,Cabinet Committees,Pádraig Rice,oral,6. Deputy Pádraig Rice asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [70180/25],https://www.oireachtas.ie/en/debates/question/2026-01-13/6/,2026-01-13
Taoiseach,Cabinet Committees,Darren O'Rourke,oral,7. Deputy Darren O'Rourke asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [71907/25],https://www.oireachtas.ie/en/debates/question/2026-01-13/7/,2026-01-13
Taoiseach,Cabinet Committees,Pádraig O'Sullivan,oral,8. Deputy Pádraig O'Sullivan asked the Taoiseach when the Cabinet committee on EU and international affairs will meet next. [74327/25],https://www.oireachtas.ie/en/debates/question/2026-01-13/8/,2026-01-13
Taoiseach,Cabinet Committees,Richard Boyd Barrett,oral,9. Deputy Richard Boyd Barrett asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1547/26],https://www.oireachtas.ie/en/debates/question/2026-01-13/9/,2026-01-13
Taoiseach,Cabinet Committees,Paul Murphy,oral,10. Deputy Paul Murphy asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1550/26],https://www.oireachtas.ie/en/debates/question/2026-01-13/10/,2026-01-13
Taoiseach,Cabinet Committees,Liam Quaide,oral,11. Deputy Liam Quaide asked the Taoiseach when the Cabinet committee on EU and international affairs will next meet. [1109/26],https://www.oireachtas.ie/en/debates/question/2026-01-13/11/,2026-01-13
